atomicNumber;symbol;name;atomicMass; color;covalentRadius;
1;H;Hydrogen;1,01;FFFFFF;0,32;
2;He;Helium;4,00;D9FFFF;0,28;
3;Li;Lithium;6,94;CC80FF;1,28;
4;Be;Beryllium;9,01;C2FF00;0,96;
5;B;Bor;10,81;FFB5B5;0,84;
6;C;Carbon;12,01;000000;0,76;
7;N;Nitrogen;14,01;3050F8;0,71;
8;O;Oxygen;16,00;FF0D0D;0,66;
9;F;Fluorine;19,00;90E050;0,57;
10;Ne;Neon;20,18;B3E3F5;0,58;
11;Na;Sodium;22,99;AB5CF2;1,66;
12;Mg;Magnesium;24,31;8AFF00;1,41;
13;Al;Aluminium;26,98;BFA6A6;1,21;
14;Si;Silicon;28,09;F0C8A0;1,11;
15;P;Phosphorus;30,97;FF8000;1,07;
16;S;Sulfur;32,07;FFFF30;1,05;
17;Cl;Chlorine;35,45;1FF01F;1,02;
18;Ar;Argon;39,95;80D1E3;1,06;
19;K;Potassium;39,10;8F40D4;2,03;
20;Ca;Calcium;40,08;3DFF00;1,76;
21;Sc;Scandium;44,96;E6E6E6;1,70;
22;Ti;Titanium;47,87;BFC2C7;1,60;
23;V;Vanadium;50,94;A6A6AB;1,53;
24;Cr;Chromium;52,00;8A99C7;1,39;
25;Mn;Manganese;54,94;9C7AC7;1,39;
26;Fe;Iron;55,85;E06633;1,32;
27;Co;Cobalt;58,93;F090A0;1,26;
28;Ni;Nickel;58,69;50D050;1,24;
29;Cu;Copper;63,55;C88033;1,32;
30;Zn;Zinc;65,38;7D80B0;1,22;
31;Ga;Gallium;69,72;C28F8F;1,22;
32;Ge;Germanium;72,64;668F8F;1,20;
33;As;Arsenic;74,92;BD80E3;1,19;
34;Se;Selenium;78,96;FFA100;1,20;
35;Br;Bromine;79,90;A62929;1,20;
36;Kr;Kryption;83,80;5CB8D1;1,16;
37;Rb;Rubidium;85,47;702EB0;2,20;
38;Sr;Strontium;87,62;00FF00;1,95;
39;Y;Yttrium;88,91;94FFFF;1,90;
40;Zr;Zirconium;91,22;94E0E0;1,75;
41;Nb;Niobium;92,91;73C2C9;1,64;
42;Mo;Molybdenum;95,96;54B5B5;1,54;
43;Tc;Technetium;98,00;3B9E9E;1,47;
44;Ru;Ruthenium;101,07;248F8F;1,46;
45;Rh;Rhodium;102,91;0A7D8C;1,42;
46;Pd;Palladium;106,42;6985;1,39;
47;Ag;Silver;107,87;C0C0C0;1,45;
48;Cd;Cadmium;112,41;FFD98F;1,44;
49;In;Indium;114,82;A67573;1,42;
50;Sn;Tin;118,71;668080;1,39;
51;Sb;Antimony;121,76;9E63B5;1,39;
52;Te;Tellurium;127,60;D47A00;1,38;
53;I;Iodine;126,90;940094;1,30;
54;Xe;Xenon;131,29;429EB0;1,40;
55;Cs;Caesium;132,91;57178F;2,44;
56;Ba;Barium;137,33;00C900;2,15;
57;La;Lanthanium;138,91;70D4FF;2,07;
